id,id_cliente,producto,precio
1,4,Island Oasis - Mango Daiquiri,41.64
2,34,Sugar - White Packet,37.32
3,22,,
4,31,Alize Red Passion,7.47
5,90,"Mushroom - Enoki, Dry",27.75
6,6,Soup - French Can Pea,46.55
7,46,Flavouring - Raspberry,26.58
8,65,Coffee - Frthy Coffee Crisp,48.47
9,30,Bread Base - Italian,25.53
10,18,"C - Plus, Orange",35.28
11,20,Soup - Tomato Mush. Florentine,17.1
12,66,"Tortillas - Flour, 12",41.3
13,61,"Soup - Knorr, Classic Can. Chili",3.76
14,80,,
15,77,Creme De Banane - Marie,2.7
16,41,Tuna - Bluefin,31.31
17,64,,
18,100,Steampan - Lid For Half Size,36.87
19,71,Sole - Fillet,49.68
20,50,Shrimp - Black Tiger 8 - 12,32.62
21,79,"Jam - Marmalade, Orange",16.9
22,90,Soup - French Onion,43.37
23,28,,
24,41,Bread - Pain Au Liat X12,46.61
25,39,Muffin Mix - Lemon Cranberry,4.07
26,1,"C - Plus, Orange",33.85
27,15,Juice - Apple Cider,15.4
28,28,,
29,72,Cornstarch,13.11
30,33,Wine - Barolo Fontanafredda,39.68
31,19,Dip - Tapenade,24.63
32,76,,
33,7,Creme De Cacao Mcguines,36.65
34,78,"Lamb - Leg, Boneless",48.64
35,86,Dc - Frozen Momji,35.9
36,26,Cactus Pads,12.22
37,53,Pastry - Mini French Pastries,17.34
38,21,"Wine - Bourgogne 2002, La",17.42
39,73,Beer - True North Strong Ale,15.64
40,63,Sponge Cake Mix - Chocolate,12.04
41,64,Clam Nectar,28.79
42,3,Bread - Raisin Walnut Oval,36.54
43,35,,
44,19,"Lamb - Whole, Fresh",4.32
45,37,Lemons,36.07
46,12,Persimmons,41.48
47,92,,
48,14,Eggwhite Frozen,19.53
49,6,Appetizer - Smoked Salmon / Dill,18.46
50,39,Muffin Mix - Oatmeal,37.22
51,17,Wine - Alicanca Vinho Verde,33.15
52,17,Egg Patty Fried,6.38
53,52,Aspic - Light,22.7
54,72,Tea - Green,40.67
55,57,Juice - Ocean Spray Cranberry,5.77
56,60,Sausage - Breakfast,9.43
57,60,Beans - Fine,15.04
58,66,Tomatoes - Yellow Hot House,23.41
59,9,"Mushroom - Porcini, Dry",4.87
60,32,Milk - 2% 250 Ml,21.95
61,74,Wine - Barbera Alba Doc 2001,47.8
62,79,"Veal - Brisket, Provimi, Bone - In",49.9
63,35,Tea - Earl Grey,49.75
64,71,Gloves - Goldtouch Disposable,30.65
65,9,Wine - Red Oakridge Merlot,3.12
66,40,Steamers White,47.98
67,47,"Ice - Clear, 300 Lb For Carving",21.03
68,78,Beef - Montreal Smoked Brisket,24.29
69,54,Lettuce - Radicchio,44.94
70,96,"Juice - V8, Tomato",22.71
71,8,Bread - Dark Rye,24.94
72,76,Rabbit - Saddles,41.02
73,47,Wine - Kwv Chenin Blanc South,45.63
74,46,Slt - Individual Portions,23.49
75,59,Longos - Greek Salad,15.13
76,38,"Pepper - Chipotle, Canned",49.59
77,70,"Turkey - Breast, Boneless Sk On",22.13
78,71,Tahini Paste,27.3
79,9,Bread - Bistro Sour,30.71
80,35,Oil - Olive,9.04
81,52,Olive - Spread Tapenade,9.74
82,14,Arizona - Plum Green Tea,31.75
83,85,Plastic Arrow Stir Stick,21.55
84,32,"Shrimp - 16 - 20 Cooked, Peeled",6.74
85,40,Lettuce - Boston Bib,45.11
86,31,Artichoke - Fresh,33.44
87,68,Squash - Sunburst,43.7
88,25,Longos - Grilled Chicken With,46.2
89,24,Pastry - Plain Baked Croissant,5.79
90,44,"Rum - Coconut, Malibu",17.06
91,18,Pate - Peppercorn,47.19
92,83,Wine - Rubyport,20.27
93,56,,
94,65,Wine - Chateau Bonnet,20.93
95,76,Corn - On The Cob,36.32
96,25,Broom - Corn,7.82
97,71,Creme De Banane - Marie,23.57
98,18,Tomatoes - Orange,42.75
99,14,Wine - Barossa Valley Estate,6.35
100,44,Olives - Kalamata,48.3
101,61,Cleaner - Lime Away,30.9
102,48,Dish Towel,39.32
103,67,Water - Evian 355 Ml,9.91
104,17,"Schnappes - Peach, Walkers",48.22
105,64,Nut - Pumpkin Seeds,17.81
106,6,,
107,4,Bread - Ciabatta Buns,22.25
108,17,"Fish - Artic Char, Cold Smoked",9.87
109,100,Pear - Packum,30.4
110,9,Gherkin - Sour,10.09
111,86,Pepper - Jalapeno,27.75
112,30,"Soup - Clam Chowder, Dry Mix",17.2
113,6,Lettuce - Iceberg,5.38
114,52,Lamb Rack Frenched Australian,17.69
115,37,Coffee Swiss Choc Almond,38.15
116,38,"Wine - Cahors Ac 2000, Clos",23.95
117,44,Madeira,8.96
118,89,Dc - Frozen Momji,38.85
119,27,Truffle Cups Green,3.1
120,97,Soup - Verve - Chipotle Chicken,20.91
121,27,Basil - Thai,40.77
122,22,Bananas,15.26
123,49,Soup V8 Roasted Red Pepper,13.16
124,22,Tart - Lemon,40.76
125,6,Oil - Coconut,10.8
126,79,Coffee - Egg Nog Capuccino,45.22
127,93,Toothpick Frilled,5.79
128,15,Beer - Labatt Blue,30.12
129,1,"Pasta - Lasagna, Dry",7.63
130,2,Rabbit - Saddles,45.64
131,2,Island Oasis - Mango Daiquiri,36.81
132,32,Sweet Pea Sprouts,23.01
133,80,Gatorade - Lemon Lime,11.19
134,83,Pastry - Raisin Muffin - Mini,25.28
135,60,Carbonated Water - Cherry,43.03
136,67,Onions - Vidalia,20.81
137,80,Pepper - Cayenne,28.49
138,34,Veal - Slab Bacon,41.08
139,36,Bamboo Shoots - Sliced,31.32
140,39,"Tuna - Canned, Flaked, Light",42.73
141,24,Chicken - Wieners,14.83
142,85,Ham - Cooked,5.97
143,39,Sugar Thermometer,1.06
144,76,"Beef - Cooked, Corned",29.15
145,5,"Wine - White, French Cross",8.08
146,80,Lemon Pepper,31.54
147,83,"Jam - Blackberry, 20 Ml Jar",27.54
148,48,Cumin - Ground,12.37
149,6,Beef - Ground Medium,44.63
150,96,Calvados - Boulard,26.37
151,43,Whmis Spray Bottle Graduated,8.87
152,72,Remy Red Berry Infusion,15.2
153,66,,
154,26,Pasta - Agnolotti - Butternut,15.21
155,30,Pie Shells 10,15.2
156,90,Cheese - Grie Des Champ,26.51
157,52,Energy Drink Bawls,7.11
158,67,Puree - Strawberry,46.25
159,90,Bread Roll Foccacia,48.16
160,69,Pickerel - Fillets,34.64
161,59,"Water - Mineral, Natural",4.66
162,80,Raisin - Dark,34.91
163,44,Wine - Gewurztraminer Pierre,25.9
164,82,Beef - Sushi Flat Iron Steak,35.13
165,81,Smoked Tongue,2.1
166,56,Fudge - Chocolate Fudge,2.06
167,76,,
168,83,Foam Tray S2,21.02
169,85,Crackers - Graham,31.41
170,63,Five Alive Citrus,34.43
171,50,Soup - Campbells - Chicken Noodle,37.26
172,45,Mustard - Seed,40.73
173,53,Mushrooms - Honey,14.79
174,78,Ezy Change Mophandle,29.04
175,87,"Pasta - Lasagna, Dry",26.19
176,78,"Thyme - Lemon, Fresh",33.47
177,24,Cleaner - Lime Away,4.83
178,86,Bread - English Muffin,34.42
179,38,"Bread - Roll, Soft White Round",12.69
180,43,Egg Patty Fried,49.0
181,66,Juice - Orangina,21.55
182,61,Nantucket - 518ml,46.16
183,22,Sproutsmustard Cress,12.46
184,5,Maple Syrup,26.39
185,91,"Beef - Bones, Cut - Up",49.94
186,41,Pepper - Sorrano,43.12
187,15,Wine - Champagne Brut Veuve,31.3
188,97,Juice - Apple Cider,45.23
189,96,Basil - Fresh,32.08
190,7,Lamb - Shoulder,20.46
191,29,"Soup - Canadian Pea, Dry Mix",37.47
192,40,Chinese Lemon Pork,7.26
193,79,"Capon - Breast, Double, Wing On",22.55
194,13,Chicken - Soup Base,10.38
195,90,Rabbit - Legs,39.81
196,48,"Split Peas - Yellow, Dry",2.34
197,12,Duck - Breast,40.93
198,39,Napkin - Beverage 1 Ply,32.96
199,83,Carbonated Water - Strawberry,40.95
200,68,Gatorade - Fruit Punch,7.81
201,15,Bar - Granola Trail Mix Fruit Nut,42.87
202,57,Corn - On The Cob,14.8
203,7,Appetizer - Shrimp Puff,33.35
204,87,"Lamb - Leg, Boneless",3.23
205,16,Cake - Cheese Cake 9 Inch,43.07
206,81,"Juice - Clamato, 341 Ml",13.3
207,45,Gherkin - Sour,6.24
208,34,"Chilli Paste, Hot Sambal Oelek",3.97
209,94,Cake - Cake Sheet Macaroon,23.99
210,74,Mushroom - Morel Frozen,8.13
211,3,"Sauce - Apple, Unsweetened",11.27
212,1,Bread Fig And Almond,18.54
213,57,Jolt Cola,44.28
214,62,Gatorade - Cool Blue Raspberry,49.34
215,71,The Pop Shoppe - Lime Rickey,16.94
216,14,"Pasta - Rotini, Colour, Dry",42.47
217,43,"Salmon - Whole, 4 - 6 Pounds",5.07
218,37,Bread - Granary Small Pull,29.04
219,78,Shopper Bag - S - 4,3.46
220,6,,
221,69,Arizona - Plum Green Tea,9.56
222,55,Water - San Pellegrino,43.55
223,94,Island Oasis - Magarita Mix,42.52
224,70,"Ham - Smoked, Bone - In",30.99
225,28,Water - Tonic,17.91
226,17,"Yeast - Fresh, Fleischman",4.13
227,65,Artichokes - Jerusalem,43.87
228,84,,
229,85,Sesame Seed,42.24
230,66,"Pasta - Penne, Rigate, Dry",9.04
231,80,"Jam - Raspberry,jar",31.35
232,85,Muffin Hinge Container 6,3.13
233,68,Sauce Bbq Smokey,46.15
234,74,Spinach - Spinach Leaf,14.62
235,84,Cookie Double Choco,6.58
236,74,Cheese - Colby,18.11
237,15,Dc - Sakura Fu,46.85
238,100,"Soup - Canadian Pea, Dry Mix",24.27
239,71,Truffle Cups Green,45.56
240,3,Dill Weed - Dry,43.04
241,54,Flower - Daisies,28.63
242,59,Beef - Montreal Smoked Brisket,25.47
243,3,Nantuket Peach Orange,16.93
244,79,Sprouts - Bean,8.63
245,93,,
246,52,Wine - Saint Emilion Calvet,14.88
247,2,Energy Drink Red Bull,7.62
248,8,Dc - Sakura Fu,7.58
249,52,Chef Hat 20cm,14.44
250,72,Ginger - Ground,33.97
251,76,"Oil - Shortening,liqud, Fry",27.32
252,81,Fond - Neutral,2.73
253,74,"Pasta - Orzo, Dry",19.29
254,84,"Soup - Knorr, Country Bean",14.72
255,42,Lemon Balm - Fresh,26.82
256,16,Juice - Orange,35.65
257,83,Appetizer - Crab And Brie,17.19
258,32,Sage Ground Wiberg,5.02
259,98,,
260,50,Coffee - Almond Amaretto,40.49
261,2,Oven Mitt - 13 Inch,24.32
262,98,Corn Shoots,44.51
263,68,Turkey - Ground. Lean,27.32
264,2,Beef Dry Aged Tenderloin Aaa,19.17
265,6,,
266,51,"Wine - Red, Metus Rose",31.86
267,71,"Wine - Sherry Dry Sack, William",38.42
268,64,Taro Root,35.29
269,42,Cheese - Marble,26.68
270,84,Sauce - Oyster,9.52
271,82,"Soup - Cream Of Broccoli, Dry",42.82
272,1,Sprouts - Corn,12.32
273,40,Swordfish Loin Portions,23.21
274,38,"Split Peas - Yellow, Dry",20.92
275,22,"Sugar - Sweet N Low, Individual",32.02
276,22,Beets - Golden,30.53
277,21,"Crab - Claws, 26 - 30",47.23
278,29,Juice - Happy Planet,16.15
279,69,Lamb - Sausage Casings,21.49
280,96,Wine - Mondavi Coastal Private,44.46
281,92,Soup - Campbells Mac N Cheese,33.33
282,50,Sausage - Andouille,24.06
283,44,Pastry - Banana Tea Loaf,33.51
284,69,Cheese - Pied De Vents,45.75
285,78,Pie Shell - 9,36.54
286,27,Flower - Leather Leaf Fern,47.44
287,67,"Roe - Lump Fish, Red",35.85
288,69,Wine - Chablis J Moreau Et Fils,36.19
289,7,,
290,9,Hinge W Undercut,35.11
291,86,Calypso - Lemonade,32.75
292,90,"Chicken - Thigh, Bone In",32.54
293,82,Dried Peach,2.36
294,7,Arizona - Green Tea,2.21
295,96,Fork - Plastic,46.0
296,20,Veal Inside - Provimi,17.36
297,57,"Salt - Rock, Course",11.52
298,32,Rambutan,26.68
299,91,Grenadillo,2.91
300,3,Fennel - Seeds,40.21
301,6,Longos - Chicken Cordon Bleu,30.13
302,2,Cheese - Mascarpone,48.5
303,3,"Juice - Orange, 341 Ml",49.76
304,89,"Pork - Back, Long Cut, Boneless",24.83
305,18,Temperature Recording Station,25.52
306,5,,
307,61,Beef - Top Sirloin,28.84
308,40,"Cake Circle, Foil, Scallop",21.39
309,31,Crab Meat Claw Pasteurise,42.65
310,23,Wine - Zinfandel California 2002,47.3
311,29,Soy Protein,42.21
312,46,Juice - V8 Splash,19.38
313,22,Magnotta Bel Paese Red,6.64
314,20,Bagel - Everything,28.64
315,71,"Ham - Smoked, Bone - In",22.87
316,69,Mortadella,30.53
317,100,Ham - Cooked Italian,49.46
318,4,Beef - Cow Feet Split,7.89
319,98,Wine - Tribal Sauvignon,42.59
320,69,Sweet Pea Sprouts,33.77
321,27,Pork - Backs - Boneless,41.09
322,45,Cake - Mini Potato Pancake,19.54
323,11,Flower - Commercial Bronze,36.17
324,70,Bread Base - Toscano,22.03
325,68,Towel - Roll White,17.45
326,58,Cookie Dough - Peanut Butter,14.27
327,60,Table Cloth 54x54 White,9.91
328,76,Cheese - Victor Et Berthold,22.76
329,75,Sole - Fillet,27.86
330,12,Sour Puss Raspberry,29.8
331,11,"Butter - Salted, Micro",42.85
332,28,Snails - Large Canned,19.75
333,33,Cheese - Marble,14.18
334,79,Nescafe - Frothy French Vanilla,41.39
335,5,Ham - Cooked Bayonne Tinned,43.24
336,36,Wine - Beringer Founders Estate,49.41
337,46,Wine - Kwv Chenin Blanc South,10.59
338,85,Lentils - Green Le Puy,24.52
339,74,,
340,70,"Tea - Darjeeling, Azzura",9.32
341,59,"Tomatoes - Vine Ripe, Yellow",24.71
342,39,Hog / Sausage Casing - Pork,15.21
343,25,,
344,61,Mussels - Frozen,1.9
345,21,Bread - Triangle White,46.69
346,8,"Wine - White, Ej Gallo",41.84
347,23,Chicken - Livers,36.6
348,48,Beer - Creemore,37.53
349,66,Turkey Leg With Drum And Thigh,24.01
350,61,Spice - Peppercorn Melange,44.83
351,56,Pastry - Raisin Muffin - Mini,10.4
352,25,Ecolab Crystal Fusion,44.21
353,48,Bar Special K,24.7
354,62,Muffin - Carrot Individual Wrap,13.46
355,23,Numi - Assorted Teas,7.58
356,33,,
357,72,Flour - Cake,44.62
358,61,Creme De Menth - White,45.46
359,59,Lime Cordial - Roses,39.74
360,98,Flower - Commercial Spider,1.87
361,21,Bacardi Raspberry,8.67
362,45,Beef Flat Iron Steak,32.35
363,77,Asparagus - Mexican,10.91
364,93,Tea - Honey Green Tea,24.75
365,82,Oil - Shortening - All - Purpose,42.92
366,38,,
367,70,Red Currant Jelly,35.99
368,90,Salmon - Fillets,18.74
369,78,Steamers White,47.65
370,51,Melon - Honey Dew,27.5
371,70,"Crab - Claws, Snow 16 - 24",42.02
372,2,Rye Special Old,1.68
373,90,Bread Base - Italian,17.85
374,97,Pasta - Canelloni,20.0
375,51,Wine - Port Late Bottled Vintage,26.01
376,28,Corn - On The Cob,22.25
377,65,Glove - Cutting,21.49
378,91,Wine - Masi Valpolocell,3.79
379,51,Lamb - Loin Chops,31.05
380,53,Chutney Sauce,45.69
381,32,Soup - Tomato Mush. Florentine,42.48
382,52,Pasta - Orecchiette,2.7
383,54,Laundry - Bag Cloth,46.51
384,1,Pectin,21.33
385,53,Squeeze Bottle,18.23
386,82,Pancetta,23.52
387,90,Coffee - 10oz Cup 92961,4.87
388,74,"Nut - Cashews, Whole, Raw",8.58
389,25,Kiwano,14.43
390,95,Wine - Bouchard La Vignee Pinot,47.75
391,96,Cake - French Pear Tart,46.91
392,56,"Beef - Tenderlion, Center Cut",7.39
393,12,Scampi Tail,20.09
394,63,Wine - Malbec Trapiche Reserve,42.36
395,52,,
396,72,Beer - Mill St Organic,20.34
397,47,"Beef - Tongue, Cooked",16.84
398,88,Sauce - Mint,30.85
399,66,Spinach - Frozen,20.54
400,63,"Wine - White, Chardonnay",27.79
401,2,Capon - Whole,28.03
402,63,Soup - Campbells Pasta Fagioli,32.63
403,86,Pork - Inside,33.7
404,3,"Yogurt - Cherry, 175 Gr",36.91
405,48,Cake - French Pear Tart,46.91
406,45,Dome Lid Clear P92008h,15.61
407,92,"Pork - Tenderloin, Fresh",44.11
408,61,Anchovy In Oil,16.77
409,24,Chocolate - Chips Compound,25.0
410,88,Wine - Barolo Fontanafredda,4.48
411,11,Sugar - Icing,38.11
412,42,Potatoes - Parissienne,20.8
413,73,Cheese - Feta,23.65
414,66,Cream - 35%,42.05
415,78,Veal - Provimi Inside,40.73
416,66,,
417,61,"Coffee - Beans, Whole",39.3
418,81,Bread Foccacia Whole,39.79
419,38,Smirnoff Green Apple Twist,18.97
420,29,Kellogs All Bran Bars,23.21
421,30,"Pasta - Gnocchi, Potato",43.67
422,57,Bread - 10 Grain,45.29
423,54,Sponge Cake Mix - Vanilla,43.07
424,60,Flavouring - Orange,32.49
425,61,Garbage Bag - Clear,3.54
426,4,"Soup - Clam Chowder, Dry Mix",14.84
427,29,"Juice - Orange, Concentrate",37.95
428,91,Pasta - Ravioli,23.92
429,70,Coffee - Flavoured,8.43
430,6,"Appetizer - Spring Roll, Veg",29.32
431,98,Snapple Raspberry Tea,34.84
432,98,Bay Leaf Ground,36.83
433,39,Pants Custom Dry Clean,24.12
434,80,Flavouring - Rum,44.16
435,100,Sloe Gin - Mcguinness,19.44
436,32,Container Clear 8 Oz,8.84
437,44,,
438,89,"Cake Circle, Foil, Scallop",36.89
439,96,Lemon Tarts,26.38
440,27,"Liners - Banana, Paper",20.02
441,33,Gherkin,16.9
442,72,Pepper - Yellow Bell,22.14
443,96,"Wine - Red, Cabernet Sauvignon",26.35
444,42,Beef - Flank Steak,36.44
445,55,Puree - Guava,25.25
446,65,Quail - Jumbo,29.16
447,40,"Beans - Black Bean, Preserved",22.68
448,83,Kumquat,25.55
449,83,"Trout - Rainbow, Frozen",33.7
450,74,Wine - Barossa Valley Estate,34.01
451,38,"Cake Circle, Foil, Scallop",35.29
452,99,Pheasants - Whole,24.16
453,11,Sprite - 355 Ml,47.13
454,61,Potatoes - Idaho 100 Count,10.62
455,83,Orange - Blood,45.12
456,49,Pastry - Mini French Pastries,44.09
457,57,"Crab - Claws, Snow 16 - 24",8.75
458,16,"Soup - Campbells, Chix Gumbo",23.43
459,2,Wine - Vineland Estate Semi - Dry,25.48
460,45,"Fish - Base, Bouillion",29.1
461,18,,
462,29,"Beans - Black Bean, Dry",21.16
463,70,"Pasta - Lasagna Noodle, Frozen",48.7
464,13,,
465,97,Beans - Fine,49.14
466,59,Mudslide,3.96
467,25,Cheese - Cambozola,7.04
468,50,Cactus Pads,27.51
469,56,Potatoes - Parissienne,41.65
470,28,,
471,84,Spinach - Baby,47.08
472,1,Lettuce - Curly Endive,35.16
473,6,Cabbage - Red,25.35
474,94,Rice - Sushi,11.51
475,87,Beef - Striploin Aa,47.61
476,35,Pear - Asian,42.91
477,69,Onion Powder,16.16
478,19,"Vodka - Lemon, Absolut",28.62
479,40,Creme De Banane - Marie,30.45
480,91,Wine - Black Tower Qr,8.16
481,7,Bay Leaf,29.2
482,87,Carrots - Jumbo,16.75
483,29,"Pasta - Tortellini, Fresh",5.84
484,67,Apple - Custard,21.43
485,83,"Beef - Bones, Marrow",12.38
486,42,Sauce - Plum,39.25
487,76,Tomatoes Tear Drop,29.64
488,15,Coffee Cup 12oz 5342cd,25.84
489,46,Cheese - Augre Des Champs,32.0
490,26,Chocolate Bar - Coffee Crisp,48.11
491,77,Coffee - Decaffeinato Coffee,19.56
492,20,Salt And Pepper Mix - Black,3.29
493,9,Bar Special K,20.41
494,36,"Wine - Red, Mouton Cadet",2.98
495,53,Carbonated Water - Wildberry,28.03
496,5,Grand Marnier,5.23
497,56,,
498,74,Wine - Vovray Sec Domaine Huet,3.42
499,39,Papayas,24.05
500,73,Cheese - Ermite Bleu,41.36
501,16,Nantucket Pine Orangebanana,16.36
502,36,,
503,59,Temperature Recording Station,20.42
504,16,Sambuca Cream,22.13
505,45,Chocolate - Compound Coating,46.45
